 i_manufact_id |     sum_sales      | avg_quarterly_sales 
---------------+--------------------+---------------------
           891 |  2191.169999999999 |   4213.219999999999
           891 |            2405.74 |   4213.219999999999
           891 |  8158.899999999996 |   4213.219999999999
           806 |            2540.56 |   4327.097500000001
           806 | 2798.6899999999982 |   4327.097500000001
           806 |  7409.610000000002 |   4327.097500000001
           941 | 1490.5400000000002 |           4377.1975
           941 | 2855.9300000000007 |           4377.1975
           941 |  5481.549999999998 |           4377.1975
           941 |  7680.769999999999 |           4377.1975
           624 |            2465.79 |   4408.299999999999
           624 | 2627.3299999999995 |   4408.299999999999
           624 |  4928.399999999998 |   4408.299999999999
           624 |  7611.679999999999 |   4408.299999999999
           656 | 2730.1700000000005 |           4431.7125
           656 | 2964.2399999999993 |           4431.7125
           656 |  7441.799999999999 |           4431.7125
           732 | 2199.9700000000003 |           4523.9025
           732 |            2473.69 |           4523.9025
           732 |            8802.08 |           4523.9025
           772 | 1752.1999999999998 |           4524.7075
           772 |             2655.3 |           4524.7075
           772 |  8767.550000000001 |           4524.7075
           723 | 1727.3899999999996 |   4532.675000000001
           723 | 2512.3900000000003 |   4532.675000000001
           723 |  5332.499999999997 |   4532.675000000001
           723 |  8558.420000000007 |   4532.675000000001
           696 |            2266.55 |           4543.5575
           696 | 3649.3700000000003 |           4543.5575
           696 | 7424.8899999999985 |           4543.5575
           764 | 2384.1000000000004 |             4559.83
           764 | 2839.2400000000002 |             4559.83
           764 |  8248.570000000003 |             4559.83
           748 | 2187.1300000000006 |   4564.877499999998
           748 | 3693.8799999999997 |   4564.877499999998
           748 |  7817.109999999992 |   4564.877499999998
           850 |            2708.11 |   4572.580000000001
           850 | 3294.4500000000016 |   4572.580000000001
           850 |            5604.29 |   4572.580000000001
           850 |  6683.470000000002 |   4572.580000000001
           913 |  2475.410000000001 |           4580.2325
           913 | 2899.1500000000005 |           4580.2325
           913 | 4049.1599999999994 |           4580.2325
           913 |            8897.21 |           4580.2325
           684 | 2471.7999999999997 |   4583.077499999999
           684 |  2647.149999999999 |   4583.077499999999
           684 |  9006.060000000003 |   4583.077499999999
           909 | 2338.6500000000005 |           4583.2925
           909 | 2793.6399999999994 |           4583.2925
           909 |  5149.090000000002 |           4583.2925
           909 |  8051.789999999995 |           4583.2925
           623 | 1765.3600000000004 |           4583.8975
           623 | 2101.8600000000006 |           4583.8975
           623 |  5896.499999999998 |           4583.8975
           623 |            8571.87 |           4583.8975
           888 | 2164.8799999999997 |   4586.900000000001
           888 | 3460.4399999999996 |   4586.900000000001
           888 |  5531.150000000002 |   4586.900000000001
           888 |  7191.130000000002 |   4586.900000000001
           953 | 2673.0699999999997 |   4590.404999999999
           953 |  2874.460000000001 |   4590.404999999999
           953 |  5070.509999999998 |   4590.404999999999
           953 |  7743.579999999996 |   4590.404999999999
           940 |            2744.42 |   4594.474999999999
           940 | 2775.6499999999996 |   4594.474999999999
           940 |            8034.19 |   4594.474999999999
           889 | 2240.4700000000003 |   4597.405000000001
           889 | 3439.1499999999987 |   4597.405000000001
           889 | 7660.5400000000045 |   4597.405000000001
           693 | 2298.5399999999995 |            4604.805
           693 |            2801.49 |            4604.805
           693 |  6102.420000000005 |            4604.805
           693 |  7216.769999999996 |            4604.805
           866 |  2191.600000000001 |   4620.697499999998
           866 |  3026.949999999999 |   4620.697499999998
           866 |  8631.929999999995 |   4620.697499999998
           797 | 2428.8100000000013 |   4624.507500000001
           797 |            3615.61 |   4624.507500000001
           797 |            8127.64 |   4624.507500000001
           682 | 3028.0200000000004 |   4630.885000000002
           682 | 3371.6600000000008 |   4630.885000000002
           682 |  5483.670000000004 |   4630.885000000002
           682 | 6640.1900000000005 |   4630.885000000002
           894 | 2083.5499999999993 |  4637.1900000000005
           894 |            2512.57 |  4637.1900000000005
           894 |            9067.39 |  4637.1900000000005
           358 | 2981.9799999999996 |   4642.040000000001
           358 | 3400.4099999999994 |   4642.040000000001
           358 |  5116.670000000003 |   4642.040000000001
           358 |  7069.100000000001 |   4642.040000000001
           468 | 2039.1299999999999 |  4646.5425000000005
           468 |  3130.650000000001 |  4646.5425000000005
           468 |            8762.68 |  4646.5425000000005
           991 |  2801.709999999999 |   4646.960000000001
           991 | 2893.4900000000002 |   4646.960000000001
           991 |  8230.660000000003 |   4646.960000000001
           820 |  2638.599999999999 |           4655.0375
           820 |            2856.53 |           4655.0375
           820 |  8452.980000000001 |           4655.0375
           937 | 2425.2300000000005 |             4660.49
(100 rows)

