 ca_zip |        sum         
--------+--------------------
        | 252805.20000000007
 30001  | 1616.4100000000003
 30008  |            2414.55
 30026  |            4900.48
 30059  |  93517.68000000001
 30069  |  96505.84999999999
 30116  |            4304.92
 30125  | 3354.1400000000003
 30141  |  7530.299999999999
 30150  |  85924.19000000002
 30162  |           91425.65
 30164  |            4954.98
 30169  |  75278.30000000002
 30191  |  78943.23999999999
 30194  |  5152.209999999999
 30204  |             441.84
 30216  | 1761.4399999999998
 30238  |             619.99
 30262  |  5900.320000000001
 30268  |  6783.530000000001
 30296  |            4501.76
 30302  |               8674
 30309  |  5754.389999999999
 30317  |             150.44
 30319  | 3528.4599999999996
 30330  |             220.44
 30344  | 2924.5299999999997
 30348  |             373.76
 30369  |            3448.68
 30382  |             855.28
 30399  |  96502.02000000002
 30407  | 246.67999999999998
 30408  |  4454.619999999999
 30411  |           79644.06
 30418  | 3017.3400000000006
 30419  |  4170.460000000001
 30451  |  6492.719999999999
 30481  |             238.54
 30492  | 4157.5599999999995
 30499  |  76889.89999999992
 30519  |  4798.269999999999
 30525  | 3128.4700000000003
 30534  |           90013.93
 30540  |            4148.84
 30573  |            8556.15
 30580  |             645.49
 30587  |  94130.42999999998
 30589  |            3489.67
 30618  |  6385.469999999999
 30631  |            4641.16
 30634  |  678.3599999999999
 30635  |            2245.04
 30702  | 163.26000000000002
 30725  |            1659.74
 30732  |            1429.85
 30744  | 3306.2599999999998
 30766  |            7895.93
 30844  | 407.46000000000004
 30852  |            4467.91
 30854  |            4959.13
 30875  |  966.2100000000002
 30894  | 2191.5399999999995
 30899  |            8348.54
 30913  |            2146.24
 30919  | 2721.4399999999996
 30945  | 2822.6399999999994
 30965  |  7507.459999999999
 31075  |            3980.37
 31083  |  6129.949999999999
 31087  |  81594.35999999999
 31103  |  629.2900000000001
 31140  | 241.16000000000003
 31143  |            5938.98
 31147  |            6750.27
 31150  | 401.72999999999996
 31160  |  6814.759999999999
 31201  | 1766.4099999999999
 31204  |  4322.669999999999
 31206  | 1709.8300000000004
 31209  |            4620.23
 31216  |            9877.49
 31218  |            6714.16
 31229  | 3693.1600000000008
 31286  |             697.14
 31289  |  90569.41999999995
 31294  |             100.45
 31338  |                174
 31387  |   88713.2799999999
 31398  |            3923.88
 31400  |  879.5799999999999
 31403  |            1050.92
 31409  | 2583.4899999999993
 31423  |            3249.02
 31453  | 248.52999999999997
 31513  | 215.46000000000004
 31521  |  87242.96999999994
 31523  |             245.99
 31525  |             527.69
 31529  |            4490.99
 31545  | 2980.9100000000003
(100 rows)

