 i_manufact_id |    total_sales    
---------------+-------------------
           930 |         594226.03
           944 |         631181.29
           998 |         650385.48
           950 |          678924.8
           774 |         695625.93
           817 |         701970.21
           772 | 727977.8700000001
           975 | 737315.1599999999
           915 | 748816.0599999999
           875 |         760613.83
           863 | 772800.6499999999
           796 |         773949.54
           820 |         777139.91
           953 | 784283.6599999999
           736 |         786276.73
           686 | 789022.6599999999
           969 | 792560.3999999999
           951 | 805589.5400000003
           785 | 806203.4199999999
           925 |         807393.93
           712 |         815840.65
           956 | 816867.3899999999
           701 |         817413.23
           880 | 818277.4000000001
           886 |         818757.91
           881 | 823997.1599999998
           678 | 829526.0700000001
           877 | 846737.9099999999
           943 |         850581.25
           679 |         850905.28
           789 | 857619.0299999999
           681 | 859520.3799999999
           973 | 866322.5200000001
           945 |         870467.47
           739 | 877050.4199999999
           816 | 877973.2000000002
           687 |            880004
           768 |         882134.05
           715 | 886546.2800000001
           948 | 886932.8799999999
           729 | 889145.1400000001
           708 | 893557.9999999999
           927 |         895314.77
           919 | 896705.6300000001
           716 |          898145.3
           831 |         904507.67
           957 | 904532.7200000001
           837 |         908522.13
           924 |         908928.51
           791 |         910812.07
           917 |         912500.29
           811 |         913927.64
           865 | 914274.8899999999
           676 |         917878.62
           710 | 919826.8600000001
           935 | 921794.1599999999
           963 | 922071.5699999998
           695 | 923528.9500000001
           815 | 925603.7899999998
           997 | 925650.0300000001
           755 |         935963.74
           907 | 936418.3899999999
           983 | 938522.8899999998
           928 | 938603.9200000002
           730 | 939663.1500000001
           921 | 940106.4500000001
           932 | 941255.6000000001
           778 |         941632.26
           888 | 942912.7000000001
           830 |         943823.33
           728 |         946005.52
           996 |         953680.24
           918 | 954956.5900000001
           906 | 955179.4600000001
           731 |         956062.05
           734 |            958125
           682 |         959008.28
           735 |         961893.16
           744 | 963013.2999999998
           819 |         966552.09
           691 |         967186.75
           874 |          969486.8
           909 | 975859.9500000001
           705 |         976196.51
           766 | 976489.0299999998
           968 |         976894.44
           680 | 977499.7899999998
           690 |         981281.79
           971 |         984114.53
           814 | 987060.6000000001
           978 |         987231.33
           849 | 987759.8600000003
           940 |         992164.11
           914 | 993494.8600000001
           821 |          995746.1
           933 | 996249.9600000002
           745 | 996790.2999999998
           836 |         997063.07
           844 |         997539.56
           959 |         998050.96
(100 rows)

