         ca_county          | d_year | web_q1_q2_increase | store_q1_q2_increase | web_q2_q3_increase | store_q2_q3_increase 
----------------------------+--------+--------------------+----------------------+--------------------+----------------------
 Accomack County            |   2000 | 0.9659633936667467 |   0.9269662296775172 | 1.9261143827794345 |   1.8314378498659751
 Ada County                 |   2000 | 1.0218349036842072 |   0.9422191429069836 | 2.0181982585482063 |    1.798400624865558
 Adams County               |   2000 | 1.0459709064967178 |   0.9554006072704166 | 1.8751877454793102 |   1.8177910767116567
 Alachua County             |   2000 | 1.1120480696644643 |   0.9679821135907991 | 1.9138526371517168 |   1.8975921155125652
 Amherst County             |   2000 | 0.9006020656350318 |   0.8915860178014221 | 2.0970492432502925 |   2.0516178875337205
 Archuleta County           |   2000 | 1.1708625311884384 |   1.0295438940352921 | 1.8508525340782138 |   1.6917347744100966
 Asotin County              |   2000 |  1.142556026345838 |   0.9036003474172367 | 2.1862578687943794 |   1.9430274453397756
 Assumption Parish          |   2000 | 0.8795948574883657 |   0.8561120203484276 |  2.232087700789936 |   1.7286030181121748
 Atoka County               |   2000 |  1.211849808828458 |    1.038682922210536 |  1.539539520499836 |   1.4184579707965153
 Austin County              |   2000 | 1.2253161783006061 |      1.0242845154039 | 1.8032067361212563 |   1.7587429800444527
 Barrow County              |   2000 | 0.9829072954084912 |   0.9535948663307358 | 1.8167821169762692 |   1.7908498012023168
 Barton County              |   2000 | 1.3800653787985488 |     1.00027709402595 | 1.9233734051941695 |   1.7651804875122736
 Blaine County              |   2000 |  1.108065440243417 |   1.0233870072099376 | 1.7646449240632915 |   1.7481459155267132
 Blue Earth County          |   2000 | 0.9853514965212798 |   0.9004891918627222 |   2.13001913415546 |   1.9235930441882287
 Bond County                |   2000 | 1.0181158383148747 |   0.9203967753342522 | 2.1976807068483324 |   1.6057928431841644
 Box Butte County           |   2000 | 1.1333656894752009 |   0.9645530126990083 |  2.201075711518032 |   1.9637641206664758
 Bracken County             |   2000 | 1.2420851799423396 |   0.8970618416197647 | 1.6900553976627113 |   1.6628785722122916
 Brazos County              |   2000 | 0.9546697522424628 |   0.9412131410053679 | 2.1861691465846755 |   1.8856005907849853
 Broadwater County          |   2000 | 0.9953641597701458 |    0.810975116546558 |  2.006729542935132 |   1.8563288431328602
 Bronx County               |   2000 | 1.1087191454371697 |   1.0185343547123697 | 1.9584904911542518 |   1.6771892947873281
 Brooke County              |   2000 | 1.2702212136630389 |   0.8847102973202335 |   1.93026438471717 |   1.6672543268030835
 Bulloch County             |   2000 | 0.8277016153320809 |   0.8160667169566423 | 1.9472716796664766 |    1.732269645186418
 Burleigh County            |   2000 | 1.2510972981608823 |     0.99712148870176 | 1.9554924666878557 |    1.785211251165089
 Burleson County            |   2000 | 0.9927949310215994 |   0.8584109476518785 | 2.2136152199541757 |   1.9124657897060113
 Butler County              |   2000 | 0.9694212433495113 |    0.962991031356297 | 2.0395783645027135 |   1.8041490264110986
 Cache County               |   2000 | 1.0684102070080446 |    1.006058109781849 |  1.942507743284955 |   1.9370754873484903
 Caldwell Parish            |   2000 |  1.164846905789192 |     0.99722790772795 | 1.7972449051783124 |   1.6287979467976328
 Cameron Parish             |   2000 | 1.0529903246555228 |   1.0299443792194398 | 1.8438413758176757 |   1.7672579491208449
 Camp County                |   2000 | 1.0649705181591562 |    1.062193155492666 |  2.120158402686217 |   1.5995312172040728
 Campbell County            |   2000 | 1.0069308315970158 |   0.9474821899716747 |  2.056667947261471 |   1.8005965747225918
 Candler County             |   2000 | 1.1203954165615806 |   1.0508482004030468 | 1.9724387982540303 |   1.7310246525862112
 Cape Girardeau County      |   2000 | 0.9468112234408522 |   0.9425427113010513 |  1.941227391936022 |   1.8861692451680896
 Cascade County             |   2000 | 1.2663002299120156 |   0.9879184679674652 |  1.818982772879598 |   1.7953616507015306
