 i_manager_id |     sum_sales      | avg_monthly_sales  
--------------+--------------------+--------------------
            1 | 49437.090000000004 |  97891.64583333333
            1 |           55142.89 |  97891.64583333333
            1 |           55353.39 |  97891.64583333333
            1 | 56017.539999999964 |  97891.64583333333
            1 | 58620.049999999945 |  97891.64583333333
            1 | 61186.979999999974 |  97891.64583333333
            1 |  75609.23999999999 |  97891.64583333333
            1 | 126584.37000000008 |  97891.64583333333
            1 | 126864.55000000012 |  97891.64583333333
            1 | 130020.01000000001 |  97891.64583333333
            1 |  183905.0899999997 |  97891.64583333333
            1 | 195958.55000000005 |  97891.64583333333
            2 |  49882.73999999999 |  91897.83916666669
            2 |  50989.10999999999 |  91897.83916666669
            2 |  51900.52000000002 |  91897.83916666669
            2 | 52956.179999999986 |  91897.83916666669
            2 |           53528.28 |  91897.83916666669
            2 | 55927.620000000024 |  91897.83916666669
            2 |  67403.02999999997 |  91897.83916666669
            2 | 114797.00000000006 |  91897.83916666669
            2 | 119842.33000000007 |  91897.83916666669
            2 | 119934.46000000011 |  91897.83916666669
            2 |  178753.3399999999 |  91897.83916666669
            2 |  186859.4600000001 |  91897.83916666669
            3 |           67906.64 | 124874.20333333337
            3 |  69269.53000000006 | 124874.20333333337
            3 |  70589.11999999998 | 124874.20333333337
            3 |            71964.8 | 124874.20333333337
            3 |  72874.72999999998 | 124874.20333333337
            3 |           76805.27 | 124874.20333333337
            3 |  94008.93999999994 | 124874.20333333337
            3 | 154063.39000000007 | 124874.20333333337
            3 | 159999.59000000008 | 124874.20333333337
            3 |          169638.76 | 124874.20333333337
            3 |          237214.63 | 124874.20333333337
            3 | 254155.04000000004 | 124874.20333333337
            4 |  65441.32999999999 | 126549.40833333328
            4 |  67578.40999999996 | 126549.40833333328
            4 |  69564.40000000002 | 126549.40833333328
            4 |  71778.47999999994 | 126549.40833333328
            4 |  73240.82999999997 | 126549.40833333328
            4 |           74444.89 | 126549.40833333328
            4 |  97391.02999999997 | 126549.40833333328
            4 |  156811.1299999999 | 126549.40833333328
            4 | 166451.52999999985 | 126549.40833333328
            4 | 167920.46000000008 | 126549.40833333328
            4 |  252131.2199999998 | 126549.40833333328
            4 | 255839.18999999994 | 126549.40833333328
            5 |  68890.17999999998 | 130609.19999999997
            5 |  70703.41000000002 | 130609.19999999997
            5 |  72935.35000000002 | 130609.19999999997
            5 |  74115.76999999997 | 130609.19999999997
            5 |  74433.68000000001 | 130609.19999999997
            5 |           78426.07 | 130609.19999999997
            5 |          100528.07 | 130609.19999999997
            5 |          167683.55 | 130609.19999999997
            5 |  173584.3199999999 | 130609.19999999997
            5 | 176179.64000000004 | 130609.19999999997
            5 | 249905.56999999995 | 130609.19999999997
            5 |  259924.7899999998 | 130609.19999999997
            6 | 53626.679999999986 | 103496.64500000002
            6 |  58422.17999999998 | 103496.64500000002
            6 |  58619.78000000002 | 103496.64500000002
            6 |  60323.34000000001 | 103496.64500000002
            6 |  62943.12999999999 | 103496.64500000002
            6 |  63575.30000000005 | 103496.64500000002
            6 |  79188.61000000002 | 103496.64500000002
            6 |          134806.84 | 103496.64500000002
            6 | 135822.53999999995 | 103496.64500000002
            6 | 135908.83000000007 | 103496.64500000002
            6 |          187668.43 | 103496.64500000002
            6 |  211054.0800000002 | 103496.64500000002
            7 | 53162.979999999974 |  97095.45416666668
            7 |  54422.33000000002 |  97095.45416666668
            7 | 54899.340000000026 |  97095.45416666668
            7 |  57563.47999999998 |  97095.45416666668
            7 | 57603.490000000056 |  97095.45416666668
            7 |  58289.99999999997 |  97095.45416666668
            7 |  75934.44000000003 |  97095.45416666668
            7 | 122624.09000000008 |  97095.45416666668
            7 |  124003.7199999999 |  97095.45416666668
            7 |          128022.43 |  97095.45416666668
            7 | 185953.84000000008 |  97095.45416666668
            7 | 192665.31000000006 |  97095.45416666668
            8 |  72033.58000000006 | 130755.96416666663
            8 |  73326.28999999998 | 130755.96416666663
            8 |  74599.09999999995 | 130755.96416666663
            8 |           74963.05 | 130755.96416666663
            8 |  75530.40000000002 | 130755.96416666663
            8 |  78753.56999999998 | 130755.96416666663
            8 |  96711.33999999985 | 130755.96416666663
            8 |  165625.0600000001 | 130755.96416666663
            8 | 168116.94000000003 | 130755.96416666663
            8 | 172807.05999999994 | 130755.96416666663
            8 | 254648.00999999978 | 130755.96416666663
            8 | 261957.17000000007 | 130755.96416666663
            9 |           64549.35 | 120862.73166666664
            9 |  67218.77999999994 | 120862.73166666664
            9 |  67460.95999999998 | 120862.73166666664
            9 |  69045.88999999996 | 120862.73166666664
(100 rows)

