 channel |  item  |      return_ratio      | return_rank | currency_rank 
---------+--------+------------------------+-------------+---------------
 catalog |  23543 | 0.00000000000000000000 |           1 |             3
 catalog | 140373 | 0.00000000000000000000 |           1 |           287
 catalog |  31125 | 0.00000000000000000000 |           1 |           294
 catalog |   3191 | 0.00000000000000000000 |           1 |           380
 catalog | 102251 | 0.00000000000000000000 |           1 |           510
 catalog | 167347 | 0.00000000000000000000 |           1 |           554
 catalog | 197017 | 0.00000000000000000000 |           1 |           635
 catalog |  31255 | 0.00000000000000000000 |           1 |           717
 catalog | 148313 | 0.00000000000000000000 |           1 |           974
 catalog |  73615 | 0.00000000000000000000 |           1 |          1068
 catalog |  70331 | 0.00000000000000000000 |           1 |          1191
 catalog |  63785 | 0.00000000000000000000 |           1 |          1339
 catalog | 152219 | 0.00000000000000000000 |           1 |          1339
 catalog | 104185 | 0.00000000000000000000 |           1 |          1346
 catalog | 171025 | 0.00000000000000000000 |           1 |          1359
 catalog | 153903 | 0.00000000000000000000 |           1 |          1432
 catalog |  68955 | 0.00000000000000000000 |           1 |          1455
 catalog |  58371 | 0.00000000000000000000 |           1 |          1814
 catalog | 152697 | 0.00000000000000000000 |           1 |          1850
 catalog | 163673 | 0.00000000000000000000 |           1 |          1924
 catalog |  31231 | 0.00000000000000000000 |           1 |          1970
 catalog |  49875 | 0.00000000000000000000 |           1 |          2276
 catalog |  33761 | 0.00000000000000000000 |           1 |          2528
 catalog |  61109 | 0.00000000000000000000 |           1 |          2587
 catalog |  27855 | 0.00000000000000000000 |           1 |          2601
 catalog |   7741 | 0.00000000000000000000 |           1 |          2702
 catalog | 107109 | 0.00000000000000000000 |           1 |          2770
 catalog | 187173 | 0.00000000000000000000 |           1 |          3066
 catalog | 175909 | 0.00000000000000000000 |           1 |          3115
 catalog | 154417 | 0.00000000000000000000 |           1 |          3326
 catalog | 173357 | 0.00000000000000000000 |           1 |          3338
 catalog |  64331 | 0.00000000000000000000 |           1 |          3359
 catalog |  70623 | 0.00000000000000000000 |           1 |          3447
 catalog |  44819 | 0.00000000000000000000 |           1 |          3467
 catalog | 102215 | 0.00000000000000000000 |           1 |          3545
 catalog | 172979 | 0.45000000000000000000 |          39 |             1
 catalog |  38901 | 0.45054945054945054945 |          40 |             2
 catalog |  82531 | 0.46153846153846153846 |          41 |             4
 catalog |  16485 | 0.46739130434782608696 |          42 |             5
 catalog | 132457 | 0.46938775510204081633 |          43 |             6
 catalog |   3941 | 0.47311827956989247312 |          44 |             7
 catalog | 109143 | 0.47368421052631578947 |          45 |             8
 catalog |  13357 | 0.47474747474747474747 |          46 |             9
 catalog | 129837 | 0.47474747474747474747 |          46 |             9
 store   |  45585 | 0.00000000000000000000 |           1 |            47
 store   | 149721 | 0.00000000000000000000 |           1 |            93
 store   | 130573 | 0.00000000000000000000 |           1 |           118
 store   | 132789 | 0.00000000000000000000 |           1 |           151
