     channel     |              id              |       sales        |      returns_      |       profit        
-----------------+------------------------------+--------------------+--------------------+---------------------
                 |                              | 11381624642.940008 |  306342963.0299996 | -3145151806.4599977
 catalog channel |                              | 3923782918.2900043 |  94420902.74999978 | -449180228.43999976
 catalog channel | catalog_pageAAAAAAAAAAABAAAA |                  0 | 10334.659999999998 | -6439.0199999999995
 catalog channel | catalog_pageAAAAAAAAAAACAAAA |  4878209.619999989 |  5120.040000000001 |  -458336.4000000002
 catalog channel | catalog_pageAAAAAAAAAABCAAAA |  298815.7200000001 |                  0 |  -3536.940000000008
 catalog channel | catalog_pageAAAAAAAAAAFBAAAA |                  0 |              853.2 |             -178.66
 catalog channel | catalog_pageAAAAAAAAAAGBAAAA |                  0 |            6957.86 |            -5926.58
 catalog channel | catalog_pageAAAAAAAAAALBAAAA |                  0 |  269302.1200000001 | -141520.92000000004
 catalog channel | catalog_pageAAAAAAAAAAMBAAAA |         5353446.36 | 31680.739999999998 |  -553242.2700000013
 catalog channel | catalog_pageAAAAAAAAAANBAAAA |                  0 |  35119.05999999999 | -19726.689999999995
 catalog channel | catalog_pageAAAAAAAAAAOAAAAA |                  0 | 30833.199999999997 |           -17004.19
 catalog channel | catalog_pageAAAAAAAAAAOBAAAA |                  0 |           30732.07 | -26241.030000000002
 catalog channel | catalog_pageAAAAAAAAAAPBAAAA |                  0 |           11269.07 |            -6028.77
 catalog channel | catalog_pageAAAAAAAAABABAAAA |                  0 | 12918.880000000001 |            -7558.29
 catalog channel | catalog_pageAAAAAAAAABACAAAA |  4541187.720000002 |           10548.19 |  -665614.7300000017
 catalog channel | catalog_pageAAAAAAAAABFBAAAA |                  0 |            18757.8 |             -657.64
 catalog channel | catalog_pageAAAAAAAAABLBAAAA |                  0 |  298405.6699999998 | -172739.15999999995
 catalog channel | catalog_pageAAAAAAAAABMBAAAA | 5088055.3200000115 |  53287.13999999999 |  -537746.5100000002
 catalog channel | catalog_pageAAAAAAAAABNBAAAA |                  0 | 15109.170000000004 |            -6587.76
 catalog channel | catalog_pageAAAAAAAAABOAAAAA |                  0 |            4354.35 |            -4009.53
 catalog channel | catalog_pageAAAAAAAAABOBAAAA |                  0 |            2357.96 |            -4038.36
 catalog channel | catalog_pageAAAAAAAAABPBAAAA |                  0 |             8147.4 |            -1730.27
 catalog channel | catalog_pageAAAAAAAAACABAAAA |                  0 |  7357.590000000001 |            -3216.63
 catalog channel | catalog_pageAAAAAAAAACACAAAA |  4765635.850000002 |           11624.25 |  -596649.7200000007
 catalog channel | catalog_pageAAAAAAAAACLBAAAA |                  0 |  234519.4200000002 |           -135544.8
 catalog channel | catalog_pageAAAAAAAAACMBAAAA |  5224312.580000007 | 21655.949999999997 |  -651192.2999999991
 catalog channel | catalog_pageAAAAAAAAACNBAAAA |                  0 |               7117 |            -6668.75
 catalog channel | catalog_pageAAAAAAAAACOAAAAA |                  0 |           19854.07 |           -11664.24
 catalog channel | catalog_pageAAAAAAAAACOBAAAA |                  0 |  9994.630000000001 |  -6905.900000000001
 catalog channel | catalog_pageAAAAAAAAACPBAAAA |                  0 |            8358.76 |            -6611.98
 catalog channel | catalog_pageAAAAAAAAADACAAAA |  5077803.530000006 |            5364.41 |  -448009.1799999992
 catalog channel | catalog_pageAAAAAAAAADLBAAAA | 10831564.840000032 |           78288.28 |  -988477.5699999977
 catalog channel | catalog_pageAAAAAAAAADMBAAAA |  5454701.790000001 |           66774.18 | -345261.48000000004
 catalog channel | catalog_pageAAAAAAAAADNBAAAA |                  0 |           20736.68 | -15706.640000000001
 catalog channel | catalog_pageAAAAAAAAADOAAAAA |                  0 | 16276.439999999999 |           -10222.26
 catalog channel | catalog_pageAAAAAAAAADOBAAAA |                  0 |           19542.68 |           -14697.36
 catalog channel | catalog_pageAAAAAAAAADPBAAAA |                  0 |            8197.75 |            -4407.67
 catalog channel | catalog_pageAAAAAAAAAEACAAAA |  4699069.900000002 |             238.92 | -479664.41000000003
 catalog channel | catalog_pageAAAAAAAAAELBAAAA | 10467773.780000005 |  70193.07999999999 |  -1155783.059999999
 catalog channel | catalog_pageAAAAAAAAAEMBAAAA |  5222899.029999992 | 34292.729999999996 |  -512844.4700000001
 catalog channel | catalog_pageAAAAAAAAAENBAAAA |                  0 | 14280.279999999999 |            -7013.93
 catalog channel | catalog_pageAAAAAAAAAEOAAAAA |                  0 | 15505.510000000002 |            -8764.61
 catalog channel | catalog_pageAAAAAAAAAEOBAAAA |                  0 |            22978.8 |            -9703.24
 catalog channel | catalog_pageAAAAAAAAAEPBAAAA |                  0 |            9988.75 | -6302.4400000000005
 catalog channel | catalog_pageAAAAAAAAAFACAAAA |  4993230.610000012 |             172.53 |  -660473.1599999997
 catalog channel | catalog_pageAAAAAAAAAFFBAAAA |                  0 | 15524.890000000001 |  -7781.730000000001
 catalog channel | catalog_pageAAAAAAAAAFLBAAAA | 10505803.580000006 |  92440.00999999998 | -1137376.0399999944
 catalog channel | catalog_pageAAAAAAAAAFMBAAAA |  5213275.930000003 |           45576.62 | -482899.96000000037
 catalog channel | catalog_pageAAAAAAAAAFNBAAAA |                  0 | 22531.490000000005 |            -12429.8
 catalog channel | catalog_pageAAAAAAAAAFOAAAAA |                  0 |           21541.81 |           -11959.87
 catalog channel | catalog_pageAAAAAAAAAFOBAAAA |                  0 |           17843.97 |            -11827.1
 catalog channel | catalog_pageAAAAAAAAAFPBAAAA |                  0 |            9207.78 |  -4999.259999999999
 catalog channel | catalog_pageAAAAAAAAAGACAAAA | 402821.57999999996 |                  0 |           -17316.53
 catalog channel | catalog_pageAAAAAAAAAGFBAAAA |                  0 |             5219.7 |            -1558.32
 catalog channel | catalog_pageAAAAAAAAAGLBAAAA |  10279534.40000001 |  81080.72999999998 | -1086626.9699999995
 catalog channel | catalog_pageAAAAAAAAAGMBAAAA |  5207863.129999999 | 29747.980000000003 | -484925.56000000075
 catalog channel | catalog_pageAAAAAAAAAGNBAAAA |                  0 | 18715.370000000003 |           -12663.27
 catalog channel | catalog_pageAAAAAAAAAGOAAAAA |                  0 | 19899.179999999997 |           -11303.11
 catalog channel | catalog_pageAAAAAAAAAGOBAAAA |                  0 |  9935.029999999999 |            -7188.26
 catalog channel | catalog_pageAAAAAAAAAGPBAAAA |                  0 |           10987.73 |            -4946.35
 catalog channel | catalog_pageAAAAAAAAAHABAAAA |                  0 |             460.04 |             -439.65
 catalog channel | catalog_pageAAAAAAAAAHACAAAA | 418484.54999999993 |                  0 |   266.6000000000031
 catalog channel | catalog_pageAAAAAAAAAHFBAAAA |                  0 |           12785.57 |  -9046.970000000001
 catalog channel | catalog_pageAAAAAAAAAHLBAAAA | 10167592.259999985 | 121884.63999999997 |  -1001148.020000001
 catalog channel | catalog_pageAAAAAAAAAHMBAAAA |  5291261.670000005 | 34784.719999999994 |          -569629.46
 catalog channel | catalog_pageAAAAAAAAAHNBAAAA |                  0 |           25191.44 |            -8717.68
 catalog channel | catalog_pageAAAAAAAAAHOAAAAA |                  0 |           19353.27 |           -15615.44
 catalog channel | catalog_pageAAAAAAAAAHOBAAAA |                  0 |           12803.81 |  -6220.919999999999
 catalog channel | catalog_pageAAAAAAAAAHPAAAAA |                  0 |            4124.04 |            -3930.77
 catalog channel | catalog_pageAAAAAAAAAHPBAAAA |                  0 |            7932.32 |             -5129.9
 catalog channel | catalog_pageAAAAAAAAAIACAAAA | 420555.11000000016 |                  0 | -45080.030000000006
 catalog channel | catalog_pageAAAAAAAAAIFBAAAA |                  0 | 3746.0099999999998 | -1948.8899999999999
 catalog channel | catalog_pageAAAAAAAAAIKBAAAA |                  0 |  273444.1400000001 | -153475.86999999988
 catalog channel | catalog_pageAAAAAAAAAILBAAAA | 10859711.579999968 |  95499.30000000002 | -1033031.7300000025
 catalog channel | catalog_pageAAAAAAAAAIMBAAAA |   5163386.52999999 | 33534.729999999996 |  -622955.5899999988
 catalog channel | catalog_pageAAAAAAAAAINBAAAA |                  0 |           16856.96 | -15808.460000000001
 catalog channel | catalog_pageAAAAAAAAAIOAAAAA |                  0 |            8072.69 |            -7300.08
 catalog channel | catalog_pageAAAAAAAAAIOBAAAA |                  0 |           14804.16 | -15676.009999999998
 catalog channel | catalog_pageAAAAAAAAAIPAAAAA |                  0 |  6559.279999999999 |  -5682.090000000001
 catalog channel | catalog_pageAAAAAAAAAIPBAAAA |                  0 |           13704.31 |            -5146.09
 catalog channel | catalog_pageAAAAAAAAAJACAAAA |          421426.26 |                  0 |  16555.599999999988
 catalog channel | catalog_pageAAAAAAAAAJFBAAAA |                  0 |            3766.94 |            -3360.19
 catalog channel | catalog_pageAAAAAAAAAJKBAAAA |                  0 |           274066.5 |           -148277.8
 catalog channel | catalog_pageAAAAAAAAAJLBAAAA | 10273132.169999983 |  94457.97000000003 | -1390442.0599999977
 catalog channel | catalog_pageAAAAAAAAAJMBAAAA |  5307941.099999998 |  42401.01000000001 | -438378.19999999995
 catalog channel | catalog_pageAAAAAAAAAJNBAAAA |                  0 | 30920.719999999994 | -13823.859999999999
 catalog channel | catalog_pageAAAAAAAAAJOAAAAA |                  0 |            12922.8 | -13284.480000000001
 catalog channel | catalog_pageAAAAAAAAAJOBAAAA |                  0 | 30870.240000000005 | -13604.860000000002
 catalog channel | catalog_pageAAAAAAAAAJPAAAAA |                  0 |           11230.91 | -11559.949999999999
 catalog channel | catalog_pageAAAAAAAAAJPBAAAA |                  0 |            7295.56 |  -5615.569999999999
 catalog channel | catalog_pageAAAAAAAAAKABAAAA |                  0 |               1593 |             -268.99
 catalog channel | catalog_pageAAAAAAAAAKACAAAA |          346356.12 |                  0 | -27805.519999999993
 catalog channel | catalog_pageAAAAAAAAAKFBAAAA |                  0 |             596.26 | -1822.4499999999998
 catalog channel | catalog_pageAAAAAAAAAKKBAAAA |                  0 |  340646.5900000001 | -190780.37000000002
 catalog channel | catalog_pageAAAAAAAAAKLBAAAA | 10430929.460000006 |  91694.53999999998 |  -776991.1599999988
 catalog channel | catalog_pageAAAAAAAAAKMBAAAA |  5373781.320000004 |            40962.4 | -335171.59000000096
 catalog channel | catalog_pageAAAAAAAAAKNBAAAA |                  0 |           16178.83 |           -12529.44
 catalog channel | catalog_pageAAAAAAAAAKOAAAAA |                  0 |            17000.7 | -10551.480000000001
 catalog channel | catalog_pageAAAAAAAAAKOBAAAA |                  0 | 14408.560000000001 |            -6234.15
 catalog channel | catalog_pageAAAAAAAAAKPAAAAA |                  0 |             4122.3 |  -5617.469999999999
(100 rows)

