 ca_zip |        sum         
--------+--------------------
        |           252805.2
 30001  | 1616.4100000000003
 30008  |            2414.55
 30026  | 4900.4800000000005
 30059  |  93517.67999999995
 30069  |  96505.85000000005
 30116  |            4304.92
 30125  |  3354.140000000001
 30141  |  7530.300000000001
 30150  |  85924.19000000002
 30162  |  91425.65000000002
 30164  |            4954.98
 30169  |  75278.29999999999
 30191  |  78943.23999999995
 30194  |            5152.21
 30204  | 441.84000000000003
 30216  |            1761.44
 30238  |  619.9900000000001
 30262  |            5900.32
 30268  |  6783.529999999999
 30296  |            4501.76
 30302  |  8673.999999999998
 30309  |            5754.39
 30317  |             150.44
 30319  |            3528.46
 30330  |             220.44
 30344  | 2924.5299999999997
 30348  | 373.76000000000005
 30369  | 3448.6799999999994
 30382  |  855.2800000000001
 30399  |  96502.01999999999
 30407  |             246.68
 30408  |  4454.619999999999
 30411  |  79644.06000000001
 30418  | 3017.3399999999992
 30419  |            4170.46
 30451  |            6492.72
 30481  |             238.54
 30492  |            4157.56
 30499  |  76889.89999999998
 30519  |  4798.269999999999
 30525  | 3128.4700000000007
 30534  |  90013.92999999996
 30540  |  4148.839999999999
 30573  |            8556.15
 30580  |             645.49
 30587  |   94130.4300000001
 30589  |            3489.67
 30618  |  6385.469999999999
 30631  |            4641.16
 30634  |             678.36
 30635  |            2245.04
 30702  | 163.26000000000005
 30725  | 1659.7400000000002
 30732  | 1429.8500000000001
 30744  | 3306.2599999999998
 30766  |            7895.93
 30844  | 407.46000000000004
 30852  |            4467.91
 30854  |  4959.129999999999
 30875  |             966.21
 30894  |            2191.54
 30899  |            8348.54
 30913  | 2146.2400000000002
 30919  | 2721.4400000000005
 30945  | 2822.6400000000003
 30965  |  7507.460000000001
 31075  |  3980.370000000001
 31083  |  6129.949999999998
 31087  |  81594.36000000004
 31103  |  629.2900000000001
 31140  | 241.15999999999997
 31143  |  5938.980000000001
 31147  |  6750.270000000001
 31150  | 401.72999999999996
 31160  |  6814.760000000002
 31201  | 1766.4099999999999
 31204  |  4322.669999999999
 31206  | 1709.8300000000002
 31209  |            4620.23
 31216  |            9877.49
 31218  |  6714.159999999999
 31229  | 3693.1599999999994
 31286  |             697.14
 31289  |  90569.41999999995
 31294  | 100.44999999999999
 31338  |                174
 31387  |  88713.27999999998
 31398  |  3923.879999999999
 31400  |  879.5799999999998
 31403  |            1050.92
 31409  | 2583.4900000000002
 31423  | 3249.0199999999995
 31453  | 248.52999999999997
 31513  | 215.45999999999998
 31521  |  87242.96999999991
 31523  | 245.98999999999998
 31525  |  527.6899999999999
 31529  |            4490.99
 31545  |            2980.91
(100 rows)

