 brand_id |         brand          |     ext_price      
----------+------------------------+--------------------
  5001001 | amalgscholar #1        |  7058698.500000004
  5002001 | importoscholar #1      | 6973582.8000000045
  3001001 | amalgexporti #1        |         6588172.42
  1001001 | amalgamalg #1          |  6301443.650000004
  2003001 | exportiimporto #1      |         6002494.18
  4001001 | amalgedu pack #1       | 5919987.9099999955
  3004001 | edu packexporti #1     |  5204586.130000001
  2004001 | edu packimporto #1     |  5083180.080000005
  4003001 | exportiedu pack #1     |         4980377.94
  2001001 | amalgimporto #1        |         4925679.98
  5004001 | edu packscholar #1     |  4768448.929999999
  3002001 | importoexporti #1      |  4705803.959999999
  4002001 | importoedu pack #1     |  4556631.949999997
  5003001 | exportischolar #1      |  4488624.629999999
  4004001 | edu packedu pack #1    |  4396205.490000002
  3003001 | exportiexporti #1      |         4312059.93
  2002001 | importoimporto #1      |  4042782.919999998
  1003001 | exportiamalg #1        | 4019386.1100000013
  1004001 | edu packamalg #1       |  3879600.980000001
  1002001 | importoamalg #1        | 3297139.6200000006
  4001002 | amalgedu pack #2       | 2939432.3500000015
  5003002 | exportischolar #2      | 2936693.4400000004
  1004002 | edu packamalg #2       | 2822176.4599999995
  4003002 | exportiedu pack #2     | 2649030.6799999997
  3002002 | importoexporti #2      | 2562614.1200000006
  2001002 | amalgimporto #2        |  2514966.490000001
  3001002 | amalgexporti #2        | 2398160.4300000006
  5002002 | importoscholar #2      | 2396315.2799999993
  5004002 | edu packscholar #2     |         2350998.62
  1001002 | amalgamalg #2          |  2334153.850000001
  4004002 | edu packedu pack #2    |  2235500.750000001
  3003002 | exportiexporti #2      | 2133807.3500000015
  2002002 | importoimporto #2      | 2014415.1300000008
  4002002 | importoedu pack #2     | 1982697.0700000008
  5001002 | amalgscholar #2        | 1884112.0900000003
  2003002 | exportiimporto #2      | 1769259.6600000008
  2004002 | edu packimporto #2     | 1735141.1500000004
  3004002 | edu packexporti #2     | 1688512.8399999994
  1003002 | exportiamalg #2        | 1475489.6300000004
  1002002 | importoamalg #2        | 1383435.3900000006
  8009007 | maxinameless #7        |  929829.2699999999
  7011007 | amalgnameless #7       |  902935.2500000002
  9008011 | namelessmaxi #11       |  900107.8799999999
  6005003 | scholarcorp #3         |  834472.2500000002
  9002003 | importomaxi #3         |          800861.76
  9016003 | corpunivamalg #3       |  796524.7099999997
  6005007 | scholarcorp #7         |  759147.4100000001
  7011008 | amalgnameless #8       |           709374.8
  8016009 | corpmaxi #9            |          702072.59
  9015011 | scholarunivamalg #11   |  693251.8800000001
 10011004 | amalgamalgamalg #4     |  687001.0200000001
  9003009 | exportimaxi #9         |  685730.8300000001
  8008001 | namelessnameless #1    |  679309.5700000001
  9005011 | scholarmaxi #11        |          675200.31
  9002002 | importomaxi #2         |  659950.4900000002
  9001003 | amalgmaxi #3           |  659867.8599999999
  9015008 | scholarunivamalg #8    |  651435.8499999999
  6001001 | amalgcorp #1           |  647618.3300000001
  8011001 | amalgmaxi #1           |  641115.2899999999
 10003016 | exportiunivamalg #16   |  640896.1699999998
  9014008 | edu packunivamalg #8   |  632253.7400000002
  7004003 | edu packbrand #3       |  622452.4899999999
  9013005 | exportiunivamalg #5    |          621255.67
  8001003 | amalgnameless #3       |          619101.49
  9001008 | amalgmaxi #8           |  617674.2799999999
  8011009 | amalgmaxi #9           |  612078.1799999999
  7014005 | edu packnameless #5    |  610594.0000000002
  8006009 | corpnameless #9        |          602342.08
  6012004 | importobrand #4        |  600290.9400000002
 10005007 | scholarunivamalg #7    |  595382.6599999999
  8008005 | namelessnameless #5    |          590124.96
  9006011 | corpmaxi #11           |  588320.3799999999
 10016011 | corpamalgamalg #11     |           587908.3
  6003004 | exporticorp #4         |          584622.35
  9007009 | brandmaxi #9           |          580587.71
  7001009 | amalgbrand #9          |          578063.04
  9013011 | exportiunivamalg #11   |  576995.8200000001
  8004007 | edu packnameless #7    |          566632.56
  9003011 | exportimaxi #11        |          565266.66
  8010001 | univmaxi #1            |          562945.91
  7003005 | exportibrand #5        |          557768.34
  6014001 | edu packbrand #1       |          556837.19
  9003005 | exportimaxi #5         |          553063.24
  8006007 | corpnameless #7        |  547082.2700000001
  6016005 | corpbrand #5           |  544982.7900000002
  8004004 | edu packnameless #4    |  540617.1599999999
  7015003 | scholarnameless #3     |          534819.48
 10014014 | edu packamalgamalg #14 |           534235.6
 10014016 | edu packamalgamalg #16 |          534015.02
  6009003 | maxicorp #3            |          533461.08
  9007011 | brandmaxi #11          |          531931.55
 10001014 | amalgunivamalg #14     |  522398.4799999999
  6008007 | namelesscorp #7        | 514274.45999999996
  6008003 | namelesscorp #3        |          512097.77
  9010009 | univunivamalg #9       |          511265.28
 10004009 | edu packunivamalg #9   | 509738.25999999995
  6002003 | importocorp #3         | 508748.36000000004
 10009017 | maxiunivamalg #17      |          507442.56
  8001005 | amalgnameless #5       | 505731.82000000007
 10008004 | namelessunivamalg #4   | 502674.80999999994
(100 rows)

