 i_manager_id |     sum_sales      | avg_monthly_sales  
--------------+--------------------+--------------------
            1 |  183905.0899999999 |  97891.64583333333
            1 |          195958.55 |  97891.64583333333
            2 | 178753.33999999985 |  91897.83916666666
            2 |  186859.4599999998 |  91897.83916666666
            3 |          237214.63 | 124874.20333333337
            3 | 254155.04000000056 | 124874.20333333337
            4 | 252131.21999999968 | 126549.40833333333
            4 |  255839.1900000003 | 126549.40833333333
            5 | 249905.56999999983 | 130609.20000000001
            5 | 259924.78999999998 | 130609.20000000001
            6 | 187668.43000000002 | 103496.64499999997
            6 |  211054.0799999998 | 103496.64499999997
            7 | 185953.83999999997 |  97095.45416666668
            7 | 192665.31000000017 |  97095.45416666668
            8 |  254648.0099999999 | 130755.96416666666
            8 | 261957.16999999993 | 130755.96416666666
            9 |  238680.0400000003 | 120862.73166666664
            9 | 246491.65000000002 | 120862.73166666664
           10 | 251281.41000000035 | 129867.37166666672
           10 | 260574.28999999998 | 129867.37166666672
           11 |  225447.2800000001 | 117447.50333333334
           11 | 236436.91000000003 | 117447.50333333334
           12 |  231344.1700000001 | 119256.94833333332
           12 | 246596.77999999968 | 119256.94833333332
           13 | 236048.99999999983 | 120172.83166666667
           13 | 242135.11999999988 | 120172.83166666667
           14 |  208819.2200000001 | 106980.20416666665
           14 | 216390.12999999983 | 106980.20416666665
           15 |             204224 | 106864.61999999998
           15 |  209223.1899999999 | 106864.61999999998
           16 | 203697.73000000004 |          105775.23
           16 | 212053.15999999997 |          105775.23
           17 |          205505.12 | 109292.38666666667
           17 | 215997.90000000002 | 109292.38666666667
           18 | 225710.19999999998 | 117546.69083333334
           18 | 235774.51000000013 | 117546.69083333334
           19 | 169496.75000000012 |           89725.13
           19 | 185647.07999999987 |           89725.13
           20 | 202455.15000000002 | 104495.02916666663
           20 |  209539.8099999997 | 104495.02916666663
           21 | 204134.17000000004 | 109899.81499999999
           21 | 222872.96000000002 | 109899.81499999999
           22 | 177075.16999999998 |         94947.3125
           22 | 193047.37999999995 |         94947.3125
           23 |          242510.12 | 124944.32999999996
           23 | 248318.29999999978 | 124944.32999999996
           24 |  201638.5799999998 | 105290.18833333334
           24 | 208748.51000000015 | 105290.18833333334
           25 | 204981.78999999957 | 108201.37249999994
           25 |  220517.1099999997 | 108201.37249999994
           26 | 238224.04000000004 | 121889.03416666668
           26 |           241286.8 | 121889.03416666668
           27 | 208126.67999999996 |         109589.825
           27 | 217636.73999999993 |         109589.825
           28 |  202971.0099999998 | 103021.00666666664
           28 | 206764.55999999982 | 103021.00666666664
           29 |  207641.5300000001 | 111447.50833333332
           29 | 224607.84000000008 | 111447.50833333332
           30 | 181779.21000000014 |  93906.91583333335
           30 | 186931.21000000002 |  93906.91583333335
           31 |  203464.6999999998 | 107782.07916666662
           31 |  219596.6900000001 | 107782.07916666662
           32 | 156116.89000000013 |  83769.48083333332
           32 |  169342.6199999999 |  83769.48083333332
           33 |             187460 |  96712.81916666667
           33 |          194401.77 |  96712.81916666667
           34 | 133309.62999999998 |          67844.025
           34 | 138861.85999999996 |          67844.025
           35 | 127750.51000000008 |  67350.98333333334
           35 | 138476.24999999994 |  67350.98333333334
           36 | 147308.08999999988 |  74500.66333333332
           36 | 149885.22999999992 |  74500.66333333332
           37 | 111804.24999999994 |         57550.8125
           37 | 112997.22000000002 |         57550.8125
           38 | 110273.68000000002 |  56350.57166666666
           38 |             113058 |  56350.57166666666
           39 | 103288.00000000009 |  52842.33583333332
           39 | 108789.57999999984 |  52842.33583333332
           40 | 126278.84999999995 |  64922.93916666667
           40 | 132281.98999999993 |  64922.93916666667
           41 |  87864.53000000003 |  46200.85416666666
           41 |  91241.11999999995 |  46200.85416666666
           42 | 123407.42000000006 |  64404.47416666668
           42 | 128746.57000000011 |  64404.47416666668
           43 |  93172.08000000005 |         48677.5825
           43 | 100243.19999999998 |         48677.5825
           44 |           86664.88 |  44549.59083333334
           44 |  86857.44000000003 |  44549.59083333334
           45 |  86116.68000000002 | 44711.424166666664
           45 |  86433.40999999999 | 44711.424166666664
           46 | 123350.23999999999 |  61747.52416666668
           46 |          126223.38 |  61747.52416666668
           47 |  72601.82999999999 |         39832.3225
           47 |  83176.95999999998 |         39832.3225
           48 | 110395.07000000012 |  58958.49416666668
           48 | 123200.93999999994 |  58958.49416666668
           49 | 105657.66999999995 |  53462.79749999999
           49 | 106985.12999999996 |  53462.79749999999
           50 | 101522.99000000005 | 52748.128333333334
           50 |          103879.47 | 52748.128333333334
(100 rows)

