         ca_county          | d_year | web_q1_q2_increase | store_q1_q2_increase | web_q2_q3_increase | store_q2_q3_increase 
----------------------------+--------+--------------------+----------------------+--------------------+----------------------
 Accomack County            |   2000 | 0.9659633936667462 |   0.9269662296775171 | 1.9261143827794345 |   1.8314378498659787
 Ada County                 |   2000 | 1.0218349036842074 |   0.9422191429069843 | 2.0181982585482037 |    1.798400624865556
 Adams County               |   2000 | 1.0459709064967173 |   0.9554006072704165 | 1.8751877454793093 |   1.8177910767116723
 Alachua County             |   2000 | 1.1120480696644648 |   0.9679821135907981 | 1.9138526371517137 |    1.897592115512571
 Amherst County             |   2000 | 0.9006020656350313 |   0.8915860178014221 |  2.097049243250293 |   2.0516178875337183
 Archuleta County           |   2000 | 1.1708625311884397 |   1.0295438940352928 |  1.850852534078214 |   1.6917347744100937
 Asotin County              |   2000 | 1.1425560263458387 |   0.9036003474172368 |  2.186257868794377 |    1.943027445339778
 Assumption Parish          |   2000 |  0.879594857488366 |   0.8561120203484277 |  2.232087700789939 |    1.728603018112178
 Atoka County               |   2000 |  1.211849808828457 |   1.0386829222105352 | 1.5395395204998341 |   1.4184579707965161
 Austin County              |   2000 | 1.2253161783006057 |   1.0242845154038989 | 1.8032067361212543 |   1.7587429800444547
 Barrow County              |   2000 | 0.9829072954084915 |   0.9535948663307363 | 1.8167821169762672 |   1.7908498012023215
 Barton County              |   2000 |   1.38006537879855 |   1.0002770940259489 | 1.9233734051941718 |   1.7651804875122727
 Blaine County              |   2000 |  1.108065440243417 |   1.0233870072099347 | 1.7646449240632942 |   1.7481459155267096
 Blue Earth County          |   2000 | 0.9853514965212803 |   0.9004891918627214 |  2.130019134155458 |   1.9235930441882294
 Bond County                |   2000 | 1.0181158383148743 |   0.9203967753342521 |  2.197680706848335 |   1.6057928431841624
 Box Butte County           |   2000 | 1.1333656894752004 |   0.9645530126990083 | 2.2010757115180333 |   1.9637641206664689
 Bracken County             |   2000 | 1.2420851799423398 |   0.8970618416197642 | 1.6900553976627115 |    1.662878572212291
 Brazos County              |   2000 | 0.9546697522424626 |   0.9412131410053666 | 2.1861691465846778 |   1.8856005907849833
 Broadwater County          |   2000 |  0.995364159770146 |   0.8109751165465576 |  2.006729542935129 |   1.8563288431328626
